06.10.15.15.05.995	 Left: 2.0 Right: 1.0
06.10.15.15.06.245	 Left: 2.0 Right: 1.0
06.10.15.15.06.495	 Left: 2.0 Right: 1.0
06.10.15.15.06.746	 Left: 2.0 Right: 1.0
06.10.15.15.06.997	 Left: 2.0 Right: 1.0
06.10.15.15.07.247	 Left: 2.0 Right: 1.0
06.10.15.15.07.497	 Left: -1.0 Right: 1.0
06.10.15.15.07.747	 Left: -1.0 Right: 1.0
06.10.15.15.07.998	 Left: -1.0 Right: 1.0
06.10.15.15.08.249	 Left: -1.0 Right: 1.0
06.10.15.15.08.499	 Left: -1.0 Right: 1.0
06.10.15.15.08.750	 Left: -1.0 Right: 1.0
06.10.15.15.09.000	 Left: -1.0 Right: 1.0
06.10.15.15.09.250	 Left: 2.0 Right: 1.0
06.10.15.15.09.500	 Left: 2.0 Right: 1.0
06.10.15.15.09.751	 Left: 2.0 Right: 1.0
06.10.15.15.10.001	 Left: 2.0 Right: 1.0
06.10.15.15.10.252	 Left: 2.0 Right: 1.0
06.10.15.15.10.503	 Left: 2.0 Right: 1.0
06.10.15.15.10.753	 Left: 2.0 Right: 1.0
06.10.15.15.11.003	 Left: 2.0 Right: 1.0
06.10.15.15.11.254	 Left: 1.0 Right: 1.0
06.10.15.15.11.504	 Left: 1.0 Right: 1.0
06.10.15.15.11.754	 Left: 1.0 Right: 1.0
06.10.15.15.12.005	 Left: 1.0 Right: 1.0
06.10.15.15.12.255	 Left: 1.0 Right: 1.0
06.10.15.15.12.506	 Left: 1.0 Right: 1.0
06.10.15.15.12.756	 Left: 1.0 Right: 1.0
06.10.15.15.13.006	 Left: 1.0 Right: 1.0
06.10.15.15.13.257	 Left: 1.0 Right: 1.0
06.10.15.15.13.507	 Left: 1.0 Right: 4.0
06.10.15.15.13.758	 Left: 1.0 Right: 4.0
06.10.15.15.14.009	 Left: 1.0 Right: 4.0
06.10.15.15.14.259	 Left: 1.0 Right: 4.0
06.10.15.15.14.509	 Left: 1.0 Right: 4.0
06.10.15.15.14.759	 Left: 1.0 Right: 4.0
06.10.15.15.15.009	 Left: 1.0 Right: 4.0
06.10.15.15.15.260	 Left: 1.0 Right: 4.0
06.10.15.15.15.510	 Left: 1.0 Right: 4.0
06.10.15.15.15.760	 Left: 1.0 Right: 4.0
06.10.15.15.16.012	 Left: 1.0 Right: 4.0
06.10.15.15.16.261	 Left: 1.0 Right: 4.0
06.10.15.15.16.512	 Left: 1.0 Right: 4.0
06.10.15.15.16.762	 Left: 1.0 Right: 4.0
06.10.15.15.17.012	 Left: 1.0 Right: 4.0
06.10.15.15.17.263	 Left: 1.0 Right: 4.0
06.10.15.15.17.513	 Left: 1.0 Right: 4.0
06.10.15.15.17.764	 Left: 1.0 Right: 4.0
06.10.15.15.18.014	 Left: 1.0 Right: 4.0
06.10.15.15.18.264	 Left: 1.0 Right: 4.0
06.10.15.15.18.514	 Left: 1.0 Right: 4.0
06.10.15.15.18.765	 Left: 1.0 Right: 4.0
06.10.15.15.19.016	 Left: 1.0 Right: 4.0
06.10.15.15.19.266	 Left: 1.0 Right: 4.0
06.10.15.15.19.518	 Left: 1.0 Right: 4.0
06.10.15.15.19.766	 Left: 1.0 Right: 4.0
06.10.15.15.20.017	 Left: 1.0 Right: 4.0
06.10.15.15.20.267	 Left: 1.0 Right: 4.0
06.10.15.15.20.517	 Left: 1.0 Right: 4.0
06.10.15.15.20.768	 Left: 1.0 Right: 4.0
06.10.15.15.21.019	 Left: 1.0 Right: 4.0
06.10.15.15.21.269	 Left: 1.0 Right: 4.0
06.10.15.15.21.519	 Left: 1.0 Right: 4.0
06.10.15.15.21.770	 Left: 1.0 Right: 4.0
06.10.15.15.22.020	 Left: 1.0 Right: 4.0
06.10.15.15.22.271	 Left: 1.0 Right: 4.0
06.10.15.15.22.521	 Left: 1.0 Right: 4.0
06.10.15.15.22.771	 Left: 1.0 Right: 4.0
06.10.15.15.23.024	 Left: 1.0 Right: 4.0
06.10.15.15.23.272	 Left: 1.0 Right: 4.0
06.10.15.15.23.522	 Left: 1.0 Right: 4.0
06.10.15.15.23.773	 Left: 1.0 Right: 4.0
06.10.15.15.24.023	 Left: 1.0 Right: 4.0
06.10.15.15.24.275	 Left: 1.0 Right: 4.0
06.10.15.15.24.525	 Left: 1.0 Right: 0.0
06.10.15.15.24.776	 Left: 1.0 Right: 0.0
06.10.15.15.25.026	 Left: 1.0 Right: 0.0
06.10.15.15.25.276	 Left: 1.0 Right: 0.0
06.10.15.15.25.527	 Left: 1.0 Right: 0.0
06.10.15.15.25.777	 Left: 1.0 Right: 0.0
06.10.15.15.26.028	 Left: 1.0 Right: 0.0
06.10.15.15.26.278	 Left: 1.0 Right: 0.0
06.10.15.15.26.530	 Left: 1.0 Right: 0.0
06.10.15.15.26.780	 Left: 1.0 Right: 4.0
06.10.15.15.27.030	 Left: 1.0 Right: 4.0
06.10.15.15.27.281	 Left: 1.0 Right: 0.0
06.10.15.15.27.531	 Left: 1.0 Right: 2.0
06.10.15.15.27.781	 Left: 1.0 Right: 2.0
06.10.15.15.28.031	 Left: 1.0 Right: 2.0
06.10.15.15.28.283	 Left: 1.0 Right: 2.0
06.10.15.15.28.532	 Left: 1.0 Right: 2.0
06.10.15.15.28.782	 Left: 1.0 Right: 2.0
06.10.15.15.29.032	 Left: 1.0 Right: 2.0
06.10.15.15.29.283	 Left: 1.0 Right: 2.0
06.10.15.15.29.533	 Left: 1.0 Right: 2.0
06.10.15.15.29.783	 Left: 1.0 Right: 2.0
06.10.15.15.30.036	 Left: 1.0 Right: 2.0
06.10.15.15.30.284	 Left: 1.0 Right: 2.0
06.10.15.15.30.535	 Left: 1.0 Right: 2.0
06.10.15.15.30.785	 Left: 1.0 Right: 2.0
06.10.15.15.31.035	 Left: 1.0 Right: 2.0
06.10.15.15.31.285	 Left: 1.0 Right: 2.0
06.10.15.15.31.537	 Left: 1.0 Right: 2.0
06.10.15.15.31.787	 Left: 1.0 Right: 3.0
06.10.15.15.32.038	 Left: 1.0 Right: 3.0
06.10.15.15.32.288	 Left: 1.0 Right: 3.0
06.10.15.15.32.539	 Left: 1.0 Right: 3.0
06.10.15.15.32.789	 Left: 1.0 Right: 3.0
06.10.15.15.33.040	 Left: 1.0 Right: 3.0
06.10.15.15.33.290	 Left: 1.0 Right: 3.0
06.10.15.15.33.542	 Left: 1.0 Right: 3.0
06.10.15.15.33.790	 Left: 1.0 Right: 4.0
06.10.15.15.34.041	 Left: 1.0 Right: 4.0
06.10.15.15.34.291	 Left: 1.0 Right: 4.0
06.10.15.15.34.541	 Left: 1.0 Right: 4.0
06.10.15.15.34.792	 Left: 1.0 Right: 4.0
06.10.15.15.35.043	 Left: 1.0 Right: 4.0
06.10.15.15.35.294	 Left: 1.0 Right: 4.0
06.10.15.15.35.543	 Left: 1.0 Right: 4.0
06.10.15.15.35.794	 Left: 1.0 Right: 4.0
06.10.15.15.36.044	 Left: 1.0 Right: 4.0
06.10.15.15.36.294	 Left: 1.0 Right: 4.0
06.10.15.15.36.545	 Left: 1.0 Right: 4.0
06.10.15.15.36.795	 Left: 1.0 Right: 4.0
06.10.15.15.37.045	 Left: 1.0 Right: 4.0
06.10.15.15.37.296	 Left: 1.0 Right: 4.0
06.10.15.15.37.546	 Left: 1.0 Right: 4.0
06.10.15.15.37.797	 Left: 1.0 Right: 4.0
06.10.15.15.38.048	 Left: 1.0 Right: 4.0
06.10.15.15.38.298	 Left: 1.0 Right: 4.0
06.10.15.15.38.548	 Left: 1.0 Right: 4.0
06.10.15.15.38.799	 Left: 1.0 Right: 4.0
06.10.15.15.39.049	 Left: 1.0 Right: 4.0
06.10.15.15.39.299	 Left: 1.0 Right: 4.0
06.10.15.15.39.549	 Left: 1.0 Right: 4.0
06.10.15.15.39.800	 Left: 1.0 Right: 4.0
06.10.15.15.40.051	 Left: 1.0 Right: 4.0
06.10.15.15.40.301	 Left: 1.0 Right: 4.0
06.10.15.15.40.551	 Left: 1.0 Right: 4.0
06.10.15.15.40.802	 Left: 1.0 Right: 4.0
